Variables;result
;1,38749999999882
c;1,38749999999882
u31_1A;0
i31A;0
u31_2B;0,1
i31B;0,184999999999843
u31_3C;0
i31C;0
u31_4D;0,1
i31D;0,184999999999843
o31A;0,138749999999882
o31B;0,0462499999999607
o31C;0,138749999999882
o31D;0,0462499999999607
u34_1A;0,025
i34A;0,0462499999999607
u34_2B;0,025
i34B;0,0462499999999607
u34_3C;0,225
i34C;0,416249999999646
u34_4D;0,125
i34D;0,231249999999804
o34A;0,184999999999843
o34B;0,184999999999843
o34C;0,138749999999882
o34D;0,231249999999803
u37_1A;0,1
i37A;0,184999999999843
u37_2B;0
i37B;0
u37_3C;0
i37C;0
u37_4D;0,1
i37D;0,184999999999843
o37A;0,0462499999999607
o37B;0,138749999999882
o37C;0,138749999999882
o37D;0,0462499999999607
u32_1A;0,225
i32A;0,416249999999646
u32_2B;0,125
i32B;0,231249999999804
u32_3C;0,025
i32C;0,0462499999999607
u32_4D;0,025
i32D;0,0462499999999607
o32A;0,138749999999882
o32B;0,231249999999803
o32C;0,184999999999843
o32D;0,184999999999843
u35_1A;0,125
i35A;0,231249999999803
u35_2B;0,125
i35B;0,231249999999803
u35_3C;0,125
i35C;0,231249999999803
u35_4D;0,125
i35D;0,231249999999803
o35A;0,231249999999804
o35B;0,231249999999804
o35C;0,231249999999804
o35D;0,231249999999804
u38_1A;0,125
i38A;0,231249999999804
u38_2B;0,225
i38B;0,416249999999646
u38_3C;0,025
i38C;0,0462499999999607
u38_4D;0,025
i38D;0,0462499999999607
o38A;0,231249999999803
o38B;0,138749999999882
o38C;0,184999999999843
o38D;0,184999999999843
u33_1A;0
i33A;0
u33_2B;0,1
i33B;0,184999999999843
u33_3C;0,1
i33C;0,184999999999843
u33_4D;0
i33D;0
o33A;0,138749999999882
o33B;0,0462499999999607
o33C;0,0462499999999607
o33D;0,138749999999882
u36_1A;0,025
i36A;0,0462499999999607
u36_2B;0,025
i36B;0,0462499999999607
u36_3C;0,125
i36C;0,231249999999804
u36_4D;0,225
i36D;0,416249999999646
o36A;0,184999999999843
o36B;0,184999999999843
o36C;0,231249999999803
o36D;0,138749999999882
u39_1A;0,1
i39A;0,184999999999843
u39_2B;0
i39B;0
u39_3C;0,1
i39C;0,184999999999843
u39_4D;0
i39D;0
o39A;0,0462499999999607
o39B;0,138749999999882
o39C;0,0462499999999607
o39D;0,138749999999882
