Variables;result
;0,277499999999764
c;0,277499999999764
u22_1A;0
i22A;0
u22_2B;0,02
i22B;0,0369999999999686
u22_3C;0
i22C;0
u22_4D;0,02
i22D;0,0369999999999686
o22A;0,0277499999999764
o22B;0,00924999999999214
o22C;0,0277499999999764
o22D;0,00924999999999214
u25_1A;0,005
i25A;0,00924999999999214
u25_2B;0,005
i25B;0,00924999999999214
u25_3C;0,045
i25C;0,0832499999999292
u25_4D;0,025
i25D;0,0462499999999607
o25A;0,0369999999999686
o25B;0,0369999999999686
o25C;0,0277499999999764
o25D;0,0462499999999607
u28_1A;0,02
i28A;0,0369999999999686
u28_2B;0
i28B;0
u28_3C;0
i28C;0
u28_4D;0,02
i28D;0,0369999999999686
o28A;0,00924999999999214
o28B;0,0277499999999764
o28C;0,0277499999999764
o28D;0,00924999999999214
u23_1A;0,045
i23A;0,0832499999999292
u23_2B;0,025
i23B;0,0462499999999607
u23_3C;0,005
i23C;0,00924999999999214
u23_4D;0,00500000000000001
i23D;0,00924999999999214
o23A;0,0277499999999764
o23B;0,0462499999999607
o23C;0,0369999999999686
o23D;0,0369999999999686
u26_1A;0,025
i26A;0,0462499999999607
u26_2B;0,025
i26B;0,0462499999999607
u26_3C;0,025
i26C;0,0462499999999607
u26_4D;0,025
i26D;0,0462499999999607
o26A;0,0462499999999607
o26B;0,0462499999999607
o26C;0,0462499999999607
o26D;0,0462499999999607
u29_1A;0,025
i29A;0,0462499999999607
u29_2B;0,045
i29B;0,0832499999999292
u29_3C;0,005
i29C;0,00924999999999214
u29_4D;0,005
i29D;0,00924999999999214
o29A;0,0462499999999607
o29B;0,0277499999999764
o29C;0,0369999999999686
o29D;0,0369999999999686
u24_1A;0
i24A;0
u24_2B;0,02
i24B;0,0369999999999686
u24_3C;0,02
i24C;0,0369999999999686
u24_4D;0
i24D;0
o24A;0,0277499999999764
o24B;0,00924999999999214
o24C;0,00924999999999214
o24D;0,0277499999999764
u27_1A;0,005
i27A;0,00924999999999214
u27_2B;0,00500000000000001
i27B;0,00924999999999214
u27_3C;0,025
i27C;0,0462499999999607
u27_4D;0,045
i27D;0,0832499999999292
o27A;0,0369999999999686
o27B;0,0369999999999686
o27C;0,0462499999999607
o27D;0,0277499999999764
u30_1A;0,02
i30A;0,0369999999999686
u30_2B;0
i30B;0
u30_3C;0,02
i30C;0,0369999999999686
u30_4D;0
i30D;0
o30A;0,00924999999999214
o30B;0,0277499999999764
o30C;0,00924999999999214
o30D;0,0277499999999764
